id,danceability,energy,liveness,valence,tempo
142,0.589,0.867,0.306,0.795,94.52
143,0.626,0.926,0.159,0.548,99.997
144,0.686,0.556,0.0922,0.36,112.997
145,0.56,0.832,0.232,0.802,100.957
146,0.619,0.793,0.0828,0.892,177.991
147,0.56,0.278,0.112,0.594,102.187
148,0.595,0.805,0.0691,0.359,102.44
149,0.438,0.827,0.319,0.645,143.377
150,0.582,0.375,0.136,0.106,129.909
151,0.453,0.295,0.293,0.14,146.022
152,0.636,0.625,0.119,0.342,93.931
153,0.639,0.201,0.124,0.4,88.107
154,0.69,0.423,0.111,0.59,130.121
155,0.599,0.349,0.112,0.444,147.913
156,0.519,0.264,0.237,0.192,140.354
157,0.643,0.569,0.178,0.275,120.507
158,0.573,0.624,0.114,0.529,161.025
159,0.654,0.821,0.228,0.613,111.958
160,0.426,0.399,0.118,0.217,115.979
161,0.505,0.21,0.11,0.323,80.721
162,0.693,0.43,0.0928,0.731,151.001
163,0.739,0.287,0.111,0.557,80.64
164,0.453,0.146,0.0945,0.0915,137.905
165,0.606,0.54,0.144,0.249,79.952
166,0.595,0.646,0.258,0.563,120.049
167,0.736,0.145,0.108,0.235,129.832
168,0.479,0.126,0.113,0.279,96.327
169,0.583,0.786,0.188,0.573,123.055
170,0.549,0.291,0.129,0.376,75.153
171,0.418,0.489,0.42,0.398,72.891
172,0.498,0.12,0.171,0.338,121.187
173,0.769,0.135,0.106,0.471,103.939
174,0.434,0.469,0.108,0.0568,136.282
175,0.452,0.198,0.1,0.217,119.499
176,0.544,0.5,0.109,0.177,93.621
177,0.662,0.187,0.0922,0.233,104.988
178,0.497,0.13,0.111,0.179,130.769
179,0.528,0.291,0.121,0.355,76.805
180,0.461,0.522,0.123,0.446,157.768
181,0.483,0.506,0.0946,0.705,87.337
182,0.392,0.423,0.117,0.288,113.537
183,0.42,0.2,0.0758,0.164,87.248
184,0.657,0.716,0.0483,0.435,93.924
185,0.495,0.185,0.109,0.196,101.89
186,0.55,0.499,0.0798,0.144,86.966
187,0.534,0.359,0.331,0.267,131.804
188,0.378,0.52,0.0979,0.357,73.744
189,0.606,0.349,0.112,0.156,80.071
190,0.486,0.555,0.109,0.0992,77.987
191,0.577,0.446,0.116,0.262,81.005
192,0.59,0.407,0.094,0.276,145.852
193,0.538,0.315,0.0979,0.4,91.921
194,0.447,0.158,0.0816,0.142,140.942
195,0.401,0.58,0.134,0.526,173.277
196,0.502,0.311,0.129,0.4,107.612
197,0.678,0.612,0.164,0.857,118.381
198,0.65,0.406,0.484,0.862,79.642
199,0.649,0.399,0.113,0.342,97.498
200,0.523,0.445,0.18,0.336,78.957
201,0.538,0.162,0.114,0.366,94.981
202,0.519,0.429,0.111,0.396,129.491
203,0.585,0.103,0.126,0.179,133.057
204,0.578,0.763,0.0743,0.394,96.808
205,0.223,0.891,0.287,0.333,159.888
206,0.382,0.157,0.112,0.224,136.11
207,0.642,0.374,0.435,0.0979,129.863
208,0.436,0.239,0.0902,0.137,73.761
209,0.702,0.326,0.168,0.628,79.904
210,0.593,0.292,0.174,0.375,111.121
211,0.285,0.186,0.104,0.203,153.848
212,0.636,0.625,0.119,0.342,93.931
213,0.698,0.285,0.0883,0.53,135.027
214,0.601,0.439,0.0942,0.275,99.976
215,0.332,0.298,0.114,0.243,83.555
216,0.386,0.452,0.0881,0.287,169.837
217,0.62,0.668,0.362,0.183,118.013
218,0.394,0.281,0.0854,0.485,90.044
219,0.59,0.552,0.128,0.635,155.101
220,0.539,0.717,0.125,0.212,117.973
221,0.543,0.138,0.185,0.3,115.65
222,0.62,0.547,0.19,0.208,98.032
223,0.761,0.311,0.15,0.553,109.891
224,0.674,0.122,0.139,0.339,130.014
225,0.429,0.358,0.0875,0.187,134.279
226,0.456,0.101,0.0776,0.155,139.896
227,0.647,0.567,0.133,0.374,125.871
228,0.322,0.213,0.113,0.16,160.389
229,0.482,0.381,0.114,0.42,81.712
